,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
0,8606661694,Afternoon Run,2023-02-22T17:02:38Z,Run,10016.3,3490,3490,0,[],garmin_ping_261329294432
1,8599235269,Lunch Run,2023-02-21T11:20:15Z,Run,5022.2,1763,1801,0,[],garmin_ping_261131602348
2,8590113211,Afternoon Run,2023-02-19T16:34:39Z,Run,4011.2,1502,1597,16.7,"[45.51873310469091, -73.56943625025451]",garmin_ping_260857840571
3,8577118622,Lunch Run,2023-02-17T11:40:57Z,Run,9378.5,3270,3314,0,[],garmin_ping_260520550140
4,8573331541,Afternoon Run,2023-02-16T16:51:51Z,Run,23.8,11,11,0.0,[],garmin_ping_260402556613
5,8551498809,Afternoon Run,2023-02-12T15:10:35Z,Run,10000.5,3649,3950,49.3,"[45.51450225524604, -73.56877198442817]",garmin_ping_259788883106
6,8537247039,Morning Run,2023-02-10T08:18:52Z,Run,5002.4,1758,2055,19.3,"[45.515940925106406, -73.56977060437202]",garmin_ping_259429637057
7,8534083866,Afternoon Run,2023-02-09T15:18:56Z,Run,4143.2,1460,1460,0,[],garmin_ping_259328268129
8,8522742570,Afternoon Run,2023-02-07T14:20:11Z,Run,7006.9,2596,2676,19.2,"[45.515860794112086, -73.56971603818238]",garmin_ping_259020888849
9,8504278182,Morning Run,2023-02-04T09:34:30Z,Run,10000.3,3448,3473,0,[],garmin_ping_258521118206
10,8496002961,Evening Run,2023-02-02T19:28:12Z,Run,5140.8,1783,1783,0,[],garmin_ping_258282812834
11,8483023229,Lunch Run,2023-01-31T12:03:21Z,Run,6100.0,2129,2162,0,[],garmin_ping_257931152450
12,8474252665,Evening Run,2023-01-29T18:09:14Z,Run,2087.9,753,753,0,[],garmin_ping_257662961670
13,8467968905,Afternoon Run,2023-01-28T16:21:30Z,Run,8002.3,2760,2760,0,[],garmin_ping_257502212384
14,8457546388,Afternoon Run,2023-01-26T17:40:57Z,Run,5100.0,1639,1639,0,[],
15,8438366257,Morning Run,2023-01-23T07:10:13Z,Run,6004.5,2160,2189,0,[],garmin_ping_256692087704
16,8435848666,Afternoon Run,2023-01-22T14:31:35Z,Run,10007.5,3433,3433,0,[],garmin_ping_256597071193
17,8430456537,Ski with Jamesy,2023-01-21T14:26:49Z,AlpineSki,19499.5,6248,13230,1661.9,"[45.30120343901217, -72.63692194595933]",AD8A43A9-893A-480F-B976-1A1C7BDB2975-activity.fit
18,8422864011,Morning Run,2023-01-20T10:05:21Z,Run,5018.8,1743,1743,0,[],garmin_ping_256263899328
19,8419506928,Afternoon Run,2023-01-19T15:41:14Z,Run,7010.1,2472,2606,25.0,"[45.516679622232914, -73.56952643953264]",garmin_ping_256157828537
20,8407406886,Lunch Run,2023-01-17T11:43:51Z,Run,6017.1,2202,2386,21.8,"[45.517438352108, -73.56887055560946]",6DE4DFA6-0F6F-4F78-B855-F29F6A4BD11A-activity.fit
21,8338885685,Afternoon Run,2023-01-04T15:35:19Z,Run,5131.6,1836,2008,15.8,"[45.51763725467026, -73.5687879100442]",E2EE0177-8799-4C73-9030-7147B0D2DCDE-activity.fit
22,8327964174,Afternoon Run,2023-01-02T15:34:06Z,Run,2682.3,978,978,10.4,"[43.86367435567081, -79.43147798068821]",41CA649D-7C05-454F-BD46-4E25274E266C-activity.fit
23,8298936104,Barefoot Run,2022-12-27T12:32:01Z,Run,5003.4,2115,2115,92.4,"[21.127247773110867, -86.75021150149405]",6F034CEE-A548-42B9-AA3A-C188810E41D1-activity.fit
24,8233141598,Afternoon Run,2022-12-10T15:42:23Z,Run,4251.4,1591,1689,15.9,"[45.51913786679506, -73.56904707849026]",A2EC1DAD-535D-4759-83FD-DFAD24B07F08-activity.fit
25,8224468806,Afternoon Run,2022-12-08T12:41:54Z,Run,5009.7,1753,1807,22.9,"[45.51693786866963, -73.57222516089678]",F87EFB22-DD96-463E-8A4F-8A71A28122D0-activity.fit
26,8181138608,Afternoon Run,2022-11-28T13:04:17Z,Run,6009.4,2053,2152,26.3,"[45.51656210795045, -73.57130675576627]",177B3D97-F1D7-476C-A4DC-B50D1F2D16C9-activity.fit
27,8172314378,Afternoon Run,2022-11-26T12:43:33Z,Run,10025.0,3404,3410,32.6,"[45.51607218571007, -73.57017645612359]",AE7B45B5-5814-44FF-B185-E410D3D076D7-activity.fit
28,8158866376,Afternoon Run,2022-11-23T13:35:01Z,Run,5010.0,1752,1838,16.8,"[45.5167995672673, -73.56957086361945]",4D28CFDC-561E-4E5E-9DF2-13A4BB213540-activity.fit
29,8150404226,Afternoon Run,2022-11-21T15:51:38Z,Run,5011.3,1887,1950,4.3,"[45.51178190857172, -73.44020817428827]",5C7EC320-B275-4C0E-902A-18E0CBD39FBF-activity.fit
30,8141362199,Afternoon Run,2022-11-19T15:27:10Z,Run,5666.4,2072,2318,18.5,"[45.51584235392511, -73.5698720254004]",958D6F85-A260-4FC6-B82E-AC1F5F58E535-activity.fit
31,8113058594,Lunch Run,2022-11-13T10:07:12Z,Run,9339.7,3262,3295,32.7,"[45.517380852252245, -73.56904271990061]",D068E15F-A8EA-4C94-8621-2FF0C937EBF9-activity.fit
32,8103268776,Afternoon Run,2022-11-11T14:41:15Z,Run,5015.9,1686,1942,16.8,"[45.517215728759766, -73.56925235129893]",97A45926-574C-469D-8F7D-55D1C1F394E5-activity.fit
33,8094151170,Afternoon Run,2022-11-09T16:11:40Z,Run,5010.2,1794,1947,16.3,"[45.517374984920025, -73.57006321661174]",02335BB4-8374-4ADC-B7DE-4CA6DE517E8A-activity.fit
34,8082993767,Lunch Run,2022-11-07T11:55:26Z,Run,5011.0,1765,1918,15.9,"[45.51622465252876, -73.57008945196867]",227045EB-A01D-4A6D-8B92-C96D8336FDBF-activity.fit
35,8080028311,Evening Run,2022-11-06T18:06:07Z,Run,1790.5,650,757,0.0,"[45.51704750396311, -73.56921991333365]",7855907E-539B-426A-BF1B-38DD067D3B63-activity.fit
36,8072547025,Lunch Run,2022-11-05T10:38:39Z,Run,7018.7,2485,2537,24.4,"[45.51638030447066, -73.5697840154171]",986362B1-B975-4A6E-B81C-615F92223496-activity.fit
37,8064567476,Afternoon Run,2022-11-03T17:05:16Z,Run,5019.2,1787,1889,15.9,"[45.516312662512064, -73.5699309501797]",4A8EC948-9E62-4921-B3F0-673B308411A1-activity.fit
38,8049698034,Evening Run,2022-10-31T17:32:18Z,Run,5012.5,1827,1991,18.1,"[45.51696175709367, -73.56959550641477]",DC8C7E8C-64DE-43D6-BF29-59F72C1C22DB-activity.fit
39,8043940460,Lunch Run,2022-10-30T12:12:27Z,Run,4236.2,1533,1844,29.1,"[45.517301643267274, -73.57296243309975]",482A5361-6264-4D1D-977C-B693DD4D8925-activity.fit
40,8031862070,Morning Run,2022-10-28T08:28:07Z,Run,5959.0,1971,2140,16.2,"[45.52215007133782, -73.56654206290841]",17F8E272-94D8-47D5-A52A-A77AD4F0C82B-activity.fit
41,8024325717,Afternoon Run,2022-10-26T16:30:32Z,Run,7006.3,2390,2580,24.1,"[45.516002364456654, -73.57073494233191]",2444D12C-2744-4574-B690-84081184B992-activity.fit
42,8014128675,Evening Run,2022-10-24T17:41:43Z,Run,3011.3,1062,1325,2.6,"[45.52361514419317, -73.56546440161765]",B5899305-94FB-4856-9FA2-65EF301FFBF1-activity.fit
43,7996614576,Morning Run,2022-10-21T07:28:16Z,Run,6083.5,2020,2597,21.7,"[45.52144657820463, -73.56724832206964]",D95F07D6-627F-4ACC-8B3F-A3B2A62FA594-activity.fit
44,7987289605,Morning Run,2022-10-19T08:21:33Z,Run,5009.8,1776,2096,6.5,"[45.50922626629472, -73.44213928095996]",0E9D117C-8748-4C17-AF10-8A45E4CF2180-activity.fit
45,7979117019,Afternoon Run,2022-10-17T16:25:24Z,Run,4418.2,1570,1834,15.8,"[45.51647921092808, -73.56970497407019]",C8AAB10A-894E-4A10-ABA7-0C7AA27AA1B6-activity.fit
46,7963457254,Evening Run,2022-10-14T17:26:51Z,Run,5026.1,1860,1990,16.2,"[45.51728202961385, -73.56898622587323]",308AE0E1-32AF-42C8-8878-21CE0311AEE9-activity.fit
47,7954119023,Afternoon Run,2022-10-12T16:45:15Z,Run,5008.7,1771,1771,21.2,"[43.865509405732155, -79.42911679856479]",4D38FDA4-43F7-4480-9F1F-90E30ACBDCAA-activity.fit
48,7948864186,Evening Run,2022-10-11T17:50:02Z,Run,2663.1,991,991,10.4,"[43.863905696198344, -79.43141612224281]",25C0A224-27A8-4B88-9151-C222B66F016E-activity.fit
49,7937745990,Afternoon Run,2022-10-09T12:46:40Z,Run,2323.5,850,850,10.5,"[43.86571601964533, -79.42812287248671]",B2C29911-64AC-476A-89E9-A0C40457A083-activity.fit
50,7932812455,Afternoon Run,2022-10-08T17:01:29Z,Run,2141.8,757,757,10.5,"[43.86715670116246, -79.42759053781629]",3D25CC1A-1D14-4557-9614-44CA2556C115-activity.fit
51,7917810259,Evening Run,2022-10-05T18:12:26Z,Run,4005.9,1467,1621,15.8,"[45.518772918730974, -73.56941437348723]",F13D6D20-A770-4E0E-9B4D-534145D24954-activity.fit
52,7907120317,Evening Run,2022-10-03T17:38:00Z,Run,5018.5,1745,1745,2.2,"[45.51144629716873, -73.44041638076305]",7402A5D5-CC6E-4E75-9D96-A83A699D9ED6-activity.fit
53,7897542770,Morning Run,2022-10-01T10:18:42Z,Run,5051.5,1796,1855,19.9,"[45.518204206600785, -73.56987353414297]",garmin_ping_241312301847
54,7882096818,Afternoon Run,2022-09-28T17:03:02Z,Run,4010.4,1497,1746,11.5,"[45.517289489507675, -73.56973472982645]",4B88BA9C-FABA-40E4-8447-586244EFA772-activity.fit
55,7865398901,Montreal Half Marathon!!,2022-09-25T08:04:51Z,Run,21298.1,7539,7575,96.3,"[45.55559545755386, -73.55165647342801]",garmin_ping_240453293320
56,7853748953,Morning Run,2022-09-23T07:07:44Z,Run,5043.9,1847,1937,14.2,"[45.51750423386693, -73.5689808614552]",CBC3921A-2667-4BA2-87AD-ED813E208096-activity.fit
57,7840460829,Afternoon Run,2022-09-20T15:33:41Z,Run,5013.3,1727,1973,15.5,"[45.51657350733876, -73.56961126439273]",54572381-14A7-43AF-ADE4-3930FFE0EA85-activity.fit
58,7818409189,Afternoon Run,2022-09-16T12:03:15Z,Run,15103.5,4961,5371,49.2,"[45.50459467805922, -73.57653588987887]",0F2D9B1D-901B-4499-BE9A-D065F90BB867-activity.fit
59,7806706092,Morning Run,2022-09-14T08:01:22Z,Run,5054.6,1742,1996,14.1,"[45.517057897523046, -73.56920356862247]",C5A47799-E0AA-4176-97D0-3EFB0244F5B9-activity.fit
60,7793716049,Evening Run,2022-09-11T18:41:30Z,Run,5617.7,1928,2009,16.6,"[45.523179955780506, -73.56559063307941]",4DCFD759-CEC5-47C4-AAB9-279E4476C3C7-activity.fit
61,7786821764,Afternoon Run,2022-09-10T13:31:58Z,Run,9055.5,3254,4536,16.5,"[45.487516382709146, -73.5613171197474]",D8ED376B-5813-467B-B71C-9632F3356029-activity.fit
62,7777362480,Evening Run,2022-09-08T18:51:35Z,Run,5018.3,1701,1723,18.8,"[45.51858499646187, -73.57003555633128]",DF0F6C12-AB63-4D0B-9853-66FBE7D2CAAE-activity.fit
63,7768955136,Morning Run,2022-09-07T07:28:21Z,Run,3501.1,1165,1777,15.4,"[45.52042298018932, -73.56815289705992]",F348542D-A6DE-4D75-9109-8C843BD25750-activity.fit
64,7753523675,Morning Run,2022-09-04T09:00:19Z,Run,10025.2,3218,3862,49.4,"[45.52699581719935, -73.56200334616005]",201D4831-797F-452F-B6B4-054D5C40112F-activity.fit
65,7741814687,Morning Run,2022-09-02T08:36:29Z,Run,3797.8,1287,1503,15.8,"[45.51673661917448, -73.57045917771757]",537CAC28-8D34-4B21-A5FD-3840BFFEF0DE-activity.fit
66,7732854561,Afternoon Run,2022-08-31T13:12:18Z,Run,13128.2,4646,5790,58.5,"[45.52447127178311, -73.58255979605019]",C47D2322-A40F-46DD-8E95-C1DFA32A8A9C-activity.fit
67,7724576935,Morning Run,2022-08-30T06:28:39Z,Run,5028.0,1726,2109,22.2,"[45.5185832362622, -73.57002507895231]",273DD9E5-31CF-4316-A686-24C48E43D8D9-activity.fit
68,7711211986,Mt St-Hilaire 4 peaks ,2022-08-27T13:42:51Z,Hike,11691.0,11533,15514,500.5,"[45.53797150030732, -73.15678727813065]",DB7D66F7-CA91-4164-B54B-749F3E4B97C7-activity.fit
69,7702829217,Morning Run,2022-08-26T07:24:46Z,Run,5011.5,1728,1771,20.6,"[45.51582156680524, -73.56970363296568]",FF1EB9E5-8EA9-4E8D-BB0D-513ED84AAD05-activity.fit
70,7697153203,Morning Run,2022-08-25T06:30:15Z,Run,5009.6,1749,1890,16.8,"[45.51616447046399, -73.57010101899505]",54CA3F13-B4F3-4D0D-81D9-3C63AE322EE1-activity.fit
71,7678276871,Evening Run,2022-08-21T18:37:26Z,Run,5004.6,1742,2025,20.8,"[45.51616162061691, -73.57046512886882]",EB27A0C7-6CED-48CF-89F4-C8F2757D84BB-activity.fit
72,7658166335,Morning Run,2022-08-18T06:36:03Z,Run,5179.3,1764,1903,19.1,"[45.51651709713042, -73.57116711325943]",E975EA12-1FA5-44FA-BE04-C38BAAD27919-activity.fit
73,7646843016,Morning Run,2022-08-16T06:27:39Z,Run,5028.4,1722,1859,18.0,"[45.51642782986164, -73.570999475196]",4AF2EA38-D1BF-455B-81AB-AE6A0F0A1DE1-activity.fit
74,7638703229,Afternoon Run,2022-08-14T13:45:11Z,Run,7319.9,2791,3211,144.9,"[45.50354987382889, -73.58772019855678]",garmin_push_9404323270
75,7633612909,Evening Run,2022-08-13T18:19:58Z,Run,5017.2,1918,2252,41.6,"[45.5173624958843, -73.56997101567686]",2180C4AE-249E-4C7F-80E9-104F7FA6EB2A-activity.fit
76,7619652878,Morning Run,2022-08-11T06:32:24Z,Run,5010.0,1826,2154,20.6,"[45.5165559053421, -73.56995073147118]",C0208021-8C30-4D9F-901F-AC9FD703BBC4-activity.fit
77,7616812622,First run back after getting COVID ,2022-08-10T15:29:55Z,Run,3032.5,1095,1623,21.3,"[45.52100334316492, -73.58099355362356]",533734BB-8EBE-4C1F-87B6-BA50BBF3AC8D-activity.fit
78,7575048939,Morning Run,2022-08-03T06:33:22Z,Run,5108.6,1811,2034,16.2,"[45.527917239815, -73.5641402285546]",07D175BC-F0F1-46AA-B51E-72CD0FADEE70-activity.fit
79,7560232363,Lunch Run,2022-07-31T11:50:55Z,Run,5731.4,2074,2603,41.2,"[45.52314366213977, -73.5663995705545]",B7526867-EA8D-4540-9A73-2405DCAB5B3A-activity.fit
80,7547453867,Morning Run,2022-07-29T06:28:54Z,Run,5144.9,1751,1918,11.3,"[45.52214705385268, -73.56657123193145]",E34BDECD-89B9-4F23-B1A9-CA27478AA4CC-activity.fit
81,7638705085,Afternoon Run,2022-07-27T15:04:04Z,Run,4696.1,1549,2018,52.8,"[45.51756290718913, -73.58630994334817]",garmin_push_9404325712
82,7539249558,Afternoon Run,2022-07-27T14:42:48Z,Run,6430.0,2235,3182,80.4,"[45.517393006011844, -73.58617994002998]",E5842D0A-F66B-415D-99CC-F1A1586BA94A-activity.fit
83,7526106289,Morning Run,2022-07-25T08:55:14Z,Run,6635.4,2424,2837,17.8,"[45.522589115425944, -73.5660937987268]",1DD01B56-1772-4049-B954-9B4A8E55A036-activity.fit
84,7509360224,Morning Run,2022-07-22T06:29:56Z,Run,4507.8,1511,1901,11.5,"[45.523157911375165, -73.56640552170575]",1437A00A-EFFA-4B10-89E6-C403C6113347-activity.fit
85,7505128337,Morning Run,2022-07-21T10:08:22Z,Run,5058.9,1794,2186,16.1,"[45.52155001088977, -73.56703030876815]",6C7F9216-6368-42BC-B36B-F9BFA5561DE0-activity.fit
86,7502331813,Evening Run,2022-07-20T20:03:21Z,Run,5023.2,1795,2047,20.4,"[45.51670091226697, -73.57067249715328]",garmin_push_9243242587
87,7493674570,Morning Run,2022-07-19T06:42:21Z,Run,3351.5,1225,1946,18.9,"[45.51882798783481, -73.56936684809625]",garmin_push_9233108599
88,7493672728,Morning Run,2022-07-19T06:26:07Z,Run,634.7,212,240,0.0,"[45.522852474823594, -73.56610972434282]",garmin_push_9233106407
89,7486819338,Evening Run,2022-07-17T19:54:21Z,Run,5005.0,1791,2515,12.2,"[45.51489151082933, -73.56565785594285]",garmin_push_9224590257
90,7479662852,Post run crème de glacé,2022-07-16T12:54:17Z,Run,5003.0,1803,3440,46.1,"[45.51469939760864, -73.56838658452034]",garmin_push_9216308840
91,7474545070,Afternoon Run,2022-07-15T14:59:56Z,Run,4321.3,1534,2160,26.5,"[45.515354024246335, -73.56865799054503]",garmin_push_9210395719
92,7462382390,Morning Run,2022-07-13T09:32:53Z,Run,5019.1,1775,2525,15.9,"[45.51787320524454, -73.56937891803682]",garmin_push_9196063707
93,7440150254,Morning Run,2022-07-09T07:58:28Z,Run,10005.8,3400,3400,62.9,"[43.865560702979565, -79.4290594663471]",garmin_push_9169940782
94,7440141620,Evening Run,2022-07-07T20:36:27Z,Run,3995.8,1474,1611,36.0,"[43.86755073443055, -79.41981984302402]",garmin_push_9169930894
95,7427687133,Evening Run,2022-07-06T20:19:31Z,Run,5007.8,1769,1918,39.5,"[43.86406168341637, -79.43118645809591]",garmin_push_9155173549
